Goles en el partido,Crónica,Fecha,Local,goles_local,Otros,goles_visitante,id_partido,resultado_local
27.0,191,2012-04-11,Pesca,14.0,Dealers,13.0,2012-04-11,G
20.0,192,2012-04-18,Pesca,9.0,Dealers,11.0,2012-04-18,P
17.0,193,2012-04-25,Pesca,7.0,Dealers,10.0,2012-04-25,P
16.0,194,2012-05-02,Pesca,7.0,Dealers,9.0,2012-05-02,P
32.0,195,2012-05-09,Pesca,19.0,Dealers,13.0,2012-05-09,G
17.0,196,2012-05-16,Pesca,9.0,Dealers,8.0,2012-05-16,G
24.0,197,2012-05-23,Pesca,12.0,Dealers,12.0,2012-05-23,E
18.0,198,2012-05-30,Pesca,9.0,Dealers,9.0,2012-05-30,E
26.0,199,2012-06-06,Pesca,15.0,Dealers,11.0,2012-06-06,G
26.0,200,2012-06-13,Pesca,9.0,Dealers,17.0,2012-06-13,P
23.0,201,2012-06-20,Pesca,13.0,Dealers,10.0,2012-06-20,G
28.0,202,2012-06-27,Pesca,16.0,Dealers,12.0,2012-06-27,G
17.0,203,2012-07-04,Pesca,8.0,Dealers,9.0,2012-07-04,P
25.0,204,2012-07-11,Pesca,14.0,Dealers,11.0,2012-07-11,G
14.0,205,2012-07-18,Pesca,7.0,Dealers,7.0,2012-07-18,E
25.0,206,2012-07-25,Pesca,16.0,Dealers,9.0,2012-07-25,G
28.0,207,2012-08-01,Pesca,11.0,Dealers,17.0,2012-08-01,P
27.0,208,2012-08-08,Pesca,16.0,Dealers,11.0,2012-08-08,G
10.0,209,2012-08-15,Pesca,6.0,Dealers,4.0,2012-08-15,G
22.0,210,2012-08-22,Pesca,13.0,Dealers,9.0,2012-08-22,G
19.0,211,2012-08-29,Pesca,11.0,Dealers,8.0,2012-08-29,G
19.0,212,2012-09-05,Pesca,12.0,Dealers,7.0,2012-09-05,G
18.0,213,2012-09-12,Pesca,7.0,Dealers,11.0,2012-09-12,P
38.0,214,2012-09-19,Pesca,23.0,Dealers,15.0,2012-09-19,G
31.0,215,2012-09-26,Pesca,20.0,Dealers,11.0,2012-09-26,G
14.0,216,2012-10-03,Pesca,7.0,Dealers,7.0,2012-10-03,E
19.0,217,2012-10-10,Pesca,9.0,Dealers,10.0,2012-10-10,P
24.0,218,2012-10-17,Pesca,13.0,Dealers,11.0,2012-10-17,G
22.0,219,2012-10-24,Pesca,10.0,Dealers,12.0,2012-10-24,P
21.0,220,2012-10-31,Pesca,15.0,Dealers,6.0,2012-10-31,G
16.0,221,2012-11-07,Pesca,8.0,Dealers,8.0,2012-11-07,E
24.0,222,2012-11-14,Pesca,11.0,Dealers,13.0,2012-11-14,P
20.0,223,2012-11-21,Pesca,13.0,Dealers,7.0,2012-11-21,G
19.0,224,2012-11-28,Pesca,10.0,Dealers,9.0,2012-11-28,G
19.0,225,2012-12-05,Pesca,9.0,Dealers,10.0,2012-12-05,P
18.0,226,2012-12-12,Pesca,11.0,Dealers,7.0,2012-12-12,G
18.0,227,2012-12-19,Pesca,11.0,Dealers,7.0,2012-12-19,G
16.0,228,2012-12-26,Pesca,8.0,Dealers,8.0,2012-12-26,E
16.0,,2013-01-02,Pesca,8.0,Dealers,8.0,2013-01-02,E
37.0,,2013-01-09,Pesca,20.0,Dealers,17.0,2013-01-09,G
29.0,229,2013-02-06,Pesca,12.0,Dealers,17.0,2013-02-06,P
20.0,230,2013-02-13,Pesca,5.0,Dealers,15.0,2013-02-13,P
15.0,231,2013-02-20,Pesca,7.0,Dealers,8.0,2013-02-20,P
16.0,232,2013-02-27,Pesca,7.0,Dealers,9.0,2013-02-27,P
13.0,233,2013-03-06,Pesca,8.0,Dealers,5.0,2013-03-06,G
14.0,234,2013-03-13,Pesca,6.0,Dealers,8.0,2013-03-13,P
27.0,235,2013-03-20,Pesca,13.0,Dealers,14.0,2013-03-20,P
20.0,,2013-03-27,Pesca,6.0,Dealers,14.0,2013-03-27,P
17.0,236,2013-04-10,Pesca,11.0,Dealers,6.0,2013-04-10,G
9.0,237,2013-04-17,Pesca,4.0,Dealers,5.0,2013-04-17,P
13.0,238,2013-04-24,Pesca,5.0,Dealers,8.0,2013-04-24,P
15.0,239,2013-05-01,Pesca,7.0,Dealers,8.0,2013-05-01,P
13.0,240,2013-05-08,Pesca,6.0,Dealers,7.0,2013-05-08,P
25.0,241,2013-05-15,Pesca,12.0,Dealers,13.0,2013-05-15,P
18.0,242,2013-05-22,Pesca,9.0,Dealers,9.0,2013-05-22,E
13.0,243,2013-05-29,Pesca,8.0,Dealers,5.0,2013-05-29,G
21.0,244,2013-06-05,Pesca,12.0,Dealers,9.0,2013-06-05,G
18.0,245,2013-06-12,Pesca,9.0,Dealers,9.0,2013-06-12,E
22.0,246,2013-06-26,Pesca,12.0,Dealers,10.0,2013-06-26,G
24.0,247,2013-07-03,Pesca,15.0,Dealers,9.0,2013-07-03,G
18.0,248,2013-07-10,Pesca,6.0,Dealers,12.0,2013-07-10,P
23.0,249,2013-07-17,Pesca,11.0,Dealers,12.0,2013-07-17,P
26.0,250,2013-07-24,Pesca,12.0,Dealers,14.0,2013-07-24,P
30.0,251,2013-07-31,Pesca,17.0,Dealers,13.0,2013-07-31,G
21.0,252,2013-08-07,Pesca,12.0,Dealers,9.0,2013-08-07,G
18.0,253,2013-08-14,Pesca,10.0,Dealers,8.0,2013-08-14,G
18.0,254,2013-08-21,Pesca,12.0,Dealers,6.0,2013-08-21,G
15.0,255,2013-08-28,Pesca,4.0,Dealers,11.0,2013-08-28,P
18.0,256,2013-09-04,Pesca,11.0,Dealers,7.0,2013-09-04,G
16.0,257,2013-09-11,Pesca,7.0,Dealers,9.0,2013-09-11,P
17.0,258,2013-09-18,Pesca,7.0,Dealers,10.0,2013-09-18,P
18.0,259,2013-09-25,Pesca,7.0,Dealers,11.0,2013-09-25,P
23.0,260,2013-10-02,Pesca,12.0,Dealers,11.0,2013-10-02,G
24.0,261,2013-10-09,Pesca,14.0,Dealers,10.0,2013-10-09,G
21.0,262,2013-10-16,Pesca,12.0,Dealers,9.0,2013-10-16,G
14.0,263,2013-10-23,Pesca,10.0,Dealers,4.0,2013-10-23,G
18.0,264,2013-10-30,Pesca,8.0,Dealers,10.0,2013-10-30,P
19.0,265,2013-11-06,Pesca,11.0,Dealers,8.0,2013-11-06,G
18.0,266,2013-11-13,Pesca,8.0,Dealers,10.0,2013-11-13,P
16.0,267,2013-11-20,Pesca,9.0,Dealers,7.0,2013-11-20,G
32.0,268,2013-11-27,Pesca,19.0,Dealers,13.0,2013-11-27,G
16.0,269,2013-12-04,Pesca,8.0,Dealers,8.0,2013-12-04,E
30.0,270,2013-12-11,Pesca,16.0,Dealers,14.0,2013-12-11,G
20.0,271,2013-12-18,Pesca,8.0,Dealers,12.0,2013-12-18,P
16.0,272,2013-12-26,Pesca,9.0,Dealers,7.0,2013-12-26,G
19.0,,2014-01-02,Pesca,3.0,Dealers,16.0,2014-01-02,P
20.0,,2014-01-15,Pesca,11.0,Dealers,9.0,2014-01-15,G
25.0,,2014-01-29,Pesca,13.0,Dealers,12.0,2014-01-29,G
20.0,273,2014-02-05,Pesca,12.0,Dealers,8.0,2014-02-05,G
28.0,274,2014-02-12,Pesca,18.0,Dealers,10.0,2014-02-12,G
31.0,275,2014-02-19,Pesca,19.0,Dealers,12.0,2014-02-19,G
30.0,276,2014-02-26,Pesca,17.0,Dealers,13.0,2014-02-26,G
10.0,277,2014-03-05,Pesca,5.0,Dealers,5.0,2014-03-05,E
12.0,278,2014-03-12,Pesca,6.0,Dealers,6.0,2014-03-12,E
30.0,279,2014-03-19,Pesca,12.0,Dealers,18.0,2014-03-19,P
16.0,280,2014-03-26,Pesca,7.0,Dealers,9.0,2014-03-26,P
25.0,281,2014-04-02,Pesca,16.0,Dealers,9.0,2014-04-02,G
22.0,282,2014-04-09,Pesca,12.0,Dealers,10.0,2014-04-09,G
19.0,283,2014-04-23,Pesca,4.0,Dealers,15.0,2014-04-23,P
21.0,284,2014-04-30,Pesca,7.0,Dealers,14.0,2014-04-30,P
20.0,285,2014-05-07,Pesca,7.0,Dealers,13.0,2014-05-07,P
16.0,286,2014-05-14,Pesca,5.0,Dealers,11.0,2014-05-14,P
20.0,287,2014-05-21,Pesca,11.0,Dealers,9.0,2014-05-21,G
16.0,288,2014-05-28,Pesca,7.0,Dealers,9.0,2014-05-28,P
22.0,291,2014-06-18,Pesca,10.0,Dealers,12.0,2014-06-18,P
17.0,292,2014-06-25,Pesca,9.0,Dealers,8.0,2014-06-25,G
10.0,293,2014-07-02,Pesca,2.0,Dealers,8.0,2014-07-02,P
19.0,294,2014-07-16,Pesca,8.0,Dealers,11.0,2014-07-16,P
18.0,295,2014-07-23,Pesca,12.0,Dealers,6.0,2014-07-23,G
12.0,296,2014-07-30,Pesca,5.0,Dealers,7.0,2014-07-30,P
24.0,297,2014-08-06,Pesca,11.0,Dealers,13.0,2014-08-06,P
17.0,298,2014-08-13,Pesca,7.0,Dealers,10.0,2014-08-13,P
25.0,299,2014-08-20,Pesca,15.0,Dealers,10.0,2014-08-20,G
23.0,300,2014-08-27,Pesca,10.0,Dealers,13.0,2014-08-27,P
18.0,301,2014-09-03,Pesca,7.0,Dealers,11.0,2014-09-03,P
24.0,302,2014-09-10,Pesca,8.0,Dealers,16.0,2014-09-10,P
15.0,303,2014-09-17,Pesca,6.0,Dealers,9.0,2014-09-17,P
19.0,304,2014-09-24,Pesca,11.0,Dealers,8.0,2014-09-24,G
8.0,305,2014-10-01,Pesca,3.0,Dealers,5.0,2014-10-01,P
15.0,306,2014-10-08,Pesca,5.0,Dealers,10.0,2014-10-08,P
28.0,307,2014-10-15,Pesca,13.0,Dealers,15.0,2014-10-15,P
29.0,308,2014-10-22,Pesca,10.0,Dealers,19.0,2014-10-22,P
20.0,309,2014-10-29,Pesca,11.0,Dealers,9.0,2014-10-29,G
12.0,310,2014-11-05,Pesca,6.0,Dealers,6.0,2014-11-05,E
21.0,311,2014-11-12,Pesca,11.0,Dealers,10.0,2014-11-12,G
36.0,312,2014-11-19,Pesca,22.0,Dealers,14.0,2014-11-19,G
16.0,313,2014-11-26,Pesca,8.0,Dealers,8.0,2014-11-26,E
18.0,314,2014-12-10,Pesca,8.0,Dealers,10.0,2014-12-10,P
31.0,315,2014-12-17,Pesca,12.0,Dealers,19.0,2014-12-17,P
30.0,,2015-01-08,Pesca,16.0,Dealers,14.0,2015-01-08,G
18.0,,2015-01-15,Pesca,11.0,Dealers,7.0,2015-01-15,G
30.0,,2015-01-29,Pesca,20.0,Dealers,10.0,2015-01-29,G
14.0,316,2015-02-05,Pesca,6.0,Dealers,8.0,2015-02-05,P
27.0,317,2015-02-12,Pesca,9.0,Dealers,18.0,2015-02-12,P
18.0,318,2015-02-26,Pesca,11.0,Dealers,7.0,2015-02-26,G
15.0,319,2015-03-05,Pesca,8.0,Dealers,7.0,2015-03-05,G
13.0,320,2015-03-12,Pesca,4.0,Dealers,9.0,2015-03-12,P
27.0,321,2015-03-19,Pesca,16.0,Dealers,11.0,2015-03-19,G
22.0,322,2015-03-26,Pesca,12.0,Dealers,10.0,2015-03-26,G
24.0,323,2015-04-02,Pesca,12.0,Dealers,12.0,2015-04-02,E
19.0,324,2015-04-09,Pesca,11.0,Dealers,8.0,2015-04-09,G
33.0,325,2015-04-16,Pesca,21.0,Dealers,12.0,2015-04-16,G
18.0,326,2015-04-23,Pesca,10.0,Dealers,8.0,2015-04-23,G
14.0,327,2015-04-30,Pesca,8.0,Dealers,6.0,2015-04-30,G
22.0,328,2015-05-07,Pesca,12.0,Dealers,10.0,2015-05-07,G
22.0,329,2015-05-14,Pesca,10.0,Dealers,12.0,2015-05-14,P
20.0,330,2015-05-21,Pesca,8.0,Dealers,12.0,2015-05-21,P
30.0,331,2015-05-28,Pesca,11.0,Dealers,19.0,2015-05-28,P
18.0,333,2015-06-11,Pesca,11.0,Dealers,7.0,2015-06-11,G
27.0,334,2015-06-18,Pesca,14.0,Dealers,13.0,2015-06-18,G
22.0,335,2015-06-25,Pesca,8.0,Dealers,14.0,2015-06-25,P
31.0,336,2015-07-01,Pesca,19.0,Dealers,12.0,2015-07-01,G
15.0,337,2015-07-08,Pesca,8.0,Dealers,7.0,2015-07-08,G
27.0,338,2015-07-15,Pesca,15.0,Dealers,12.0,2015-07-15,G
